"","transcript","ORF","cluster","bE","bJ","bA","SP","No.TM","KO","Kegg"
"14784","NVE5222","Gene.8091::NVE5222::g.8091::m.8091","cluster2126",0,0,0,"N",0,"",""
"14786","NVE5224","Gene.8094::NVE5224::g.8094::m.8094","cluster47",0,0,0,"Y",1,"",""
"14787","NVE5224","Gene.8095::NVE5224::g.8095::m.8095","cluster47",0,0,0,"N",0,"",""
"14788","NVE5224","Gene.8096::NVE5224::g.8096::m.8096","cluster260",0,0,0,"N",0,"",""
"14789","NVE5224","Gene.8097::NVE5224::g.8097::m.8097","cluster994",0,0,0,"N",0,"",""
"14790","NVE5224","Gene.8098::NVE5224::g.8098::m.8098","cluster28",0,0,0,"N",0,"",""
"14791","NVE5224","Gene.8099::NVE5224::g.8099::m.8099","cluster5428",0,0,0,"Y",0,"",""
"14792","NVE5224","Gene.8100::NVE5224::g.8100::m.8100","cluster1940",0,0,0,"N",0,"",""
"14800","NVE5238","Gene.8120::NVE5238::g.8120::m.8120","cluster3256",0,0,0,"N",0,"",""
"14801","NVE5238","Gene.8121::NVE5238::g.8121::m.8121","cluster916",0,0,0,"N",0,"",""
"14804","NVE5243","Gene.8127::NVE5243::g.8127::m.8127","cluster169",0,0,0,"N",0,"",""
"14805","NVE5245","Gene.8128::NVE5245::g.8128::m.8128","cluster1863",0,0,0,"N",1,"",""
"14806","NVE5245","Gene.8129::NVE5245::g.8129::m.8129","cluster2338",0,0,0,"N",0,"",""
"14807","NVE5246","Gene.8130::NVE5246::g.8130::m.8130","cluster2338",0,0,0,"N",0,"",""
"14808","NVE5246","Gene.8131::NVE5246::g.8131::m.8131","cluster2338",0,0,0,"N",0,"",""
"14809","NVE5246","Gene.8132::NVE5246::g.8132::m.8132","cluster3458",0,0,0,"N",0,"",""
"14810","NVE5246","Gene.8133::NVE5246::g.8133::m.8133","cluster1863",0,0,0,"N",0,"",""
"14811","NVE5247","Gene.8134::NVE5247::g.8134::m.8134","cluster130",0,0,0,"N",0,"",""
"14812","NVE5252","Gene.8136::NVE5252::g.8136::m.8136","cluster1942",0,0,0,"N",1,"",""
"14813","NVE5256","Gene.8138::NVE5256::g.8138::m.8138","cluster245",0,0,0,"N",1,"",""
"14814","NVE5256","Gene.8139::NVE5256::g.8139::m.8139","cluster1544",0,0,0,"N",1,"",""
"14815","NVE5257","Gene.8140::NVE5257::g.8140::m.8140","cluster90",0,0,0,"N",0,"",""
"14816","NVE5257","Gene.8141::NVE5257::g.8141::m.8141","cluster245",0,0,0,"N",0,"",""
"14817","NVE5257","Gene.8142::NVE5257::g.8142::m.8142","cluster7895",0,0,0,"N",0,"",""
"14818","NVE5257","Gene.8143::NVE5257::g.8143::m.8143","cluster822",0,0,0,"N",0,"",""
"14819","NVE5258","Gene.8144::NVE5258::g.8144::m.8144","cluster3907",0,0,0,"N",4,"",""
"14821","NVE5260","Gene.8147::NVE5260::g.8147::m.8147","cluster4308",0,0,0,"N",0,"",""
"14822","NVE5261","Gene.8148::NVE5261::g.8148::m.8148","cluster7",0,0,0,"N",0,"",""
"14823","NVE5261","Gene.8149::NVE5261::g.8149::m.8149","cluster4485",0,0,0,"N",1,"",""
"14826","NVE5264","Gene.8154::NVE5264::g.8154::m.8154","cluster106",0,0,0,"Y",0,"",""
"14827","NVE5265","Gene.8155::NVE5265::g.8155::m.8155","cluster197",0,0,0,"N",0,"",""
"14829","NVE5268","Gene.8158::NVE5268::g.8158::m.8158","cluster490",0,0,0,"N",1,"",""
"14830","NVE5268","Gene.8159::NVE5268::g.8159::m.8159","cluster279",0,0,0,"N",2,"",""
"14831","NVE5271","Gene.8162::NVE5271::g.8162::m.8162","cluster72",0,0,0,"N",1,"",""
"14832","NVE5271","Gene.8163::NVE5271::g.8163::m.8163","cluster1517",0,0,0,"N",1,"",""
"14833","NVE5271","Gene.8164::NVE5271::g.8164::m.8164","cluster7897",0,0,0,"N",0,"",""
"14834","NVE5271","Gene.8165::NVE5271::g.8165::m.8165","cluster58",0,0,0,"N",3,"",""
"14835","NVE5272","Gene.8166::NVE5272::g.8166::m.8166","cluster135",0,0,0,"N",8,"",""
"14841","NVE5274","Gene.8173::NVE5274::g.8173::m.8173","cluster959",0,0,0,"N",0,"",""
"14842","NVE5275","Gene.8174::NVE5275::g.8174::m.8174","cluster959",0,0,0,"N",0,"",""
"14843","NVE5276","Gene.8175::NVE5276::g.8175::m.8175","cluster1581",0,0,0,"Y",1,"",""
"14845","NVE5278","Gene.8178::NVE5278::g.8178::m.8178","cluster4490",0,0,0,"N",0,"",""
"14846","NVE5278","Gene.8179::NVE5278::g.8179::m.8179","cluster3031",0,0,0,"N",0,"",""
"14847","NVE5280","Gene.8180::NVE5280::g.8180::m.8180","cluster151",0,0,0,"N",0,"",""
"14848","NVE5281","Gene.8181::NVE5281::g.8181::m.8181","cluster121",0,0,0,"N",0,"",""
"14849","NVE5281","Gene.8182::NVE5281::g.8182::m.8182","cluster7900",0,0,0,"N",0,"",""
"14850","NVE5281","Gene.8183::NVE5281::g.8183::m.8183","cluster193",0,0,0,"N",0,"",""
"14851","NVE5284","Gene.8186::NVE5284::g.8186::m.8186","cluster1863",0,0,0,"N",2,"",""
"14852","NVE5288","Gene.8190::NVE5288::g.8190::m.8190","cluster4639",0,0,0,"N",0,"",""
"14853","NVE5289","Gene.8191::NVE5289::g.8191::m.8191","cluster106",0,0,0,"Y",0,"",""
"14854","NVE5289","Gene.8192::NVE5289::g.8192::m.8192","cluster3030",0,0,0,"N",0,"",""
"14855","NVE5291","Gene.8194::NVE5291::g.8194::m.8194","cluster276",0,0,1,"N",1,"",""
"14856","NVE5291","Gene.8195::NVE5291::g.8195::m.8195","cluster5543",0,0,1,"N",1,"",""
"14857","NVE5292","Gene.8196::NVE5292::g.8196::m.8196","cluster1261",0,0,0,"N",0,"",""
"14858","NVE5295","Gene.8198::NVE5295::g.8198::m.8198","cluster2202",0,0,0,"N",0,"",""
"14859","NVE5295","Gene.8199::NVE5295::g.8199::m.8199","cluster1",0,0,0,"N",0,"",""
"14860","NVE5297","Gene.8201::NVE5297::g.8201::m.8201","cluster682",0,0,0,"N",0,"",""
"14861","NVE5297","Gene.8202::NVE5297::g.8202::m.8202","cluster134",0,0,0,"N",4,"",""
"14862","NVE5297","Gene.8203::NVE5297::g.8203::m.8203","cluster574",0,0,0,"N",0,"",""
"14863","NVE5297","Gene.8204::NVE5297::g.8204::m.8204","cluster648",0,0,0,"N",0,"",""
"14864","NVE5297","Gene.8205::NVE5297::g.8205::m.8205","cluster1094",0,0,0,"N",0,"",""
"14865","NVE5297","Gene.8206::NVE5297::g.8206::m.8206","cluster2729",0,0,0,"N",1,"",""
"14866","NVE5297","Gene.8207::NVE5297::g.8207::m.8207","cluster7902",0,0,0,"N",0,"",""
"14868","NVE5299","Gene.8210::NVE5299::g.8210::m.8210","cluster137",0,0,0,"Y",1,"",""
"14869","NVE5300","Gene.8211::NVE5300::g.8211::m.8211","cluster137",0,0,0,"N",1,"",""
"14870","NVE5300","Gene.8212::NVE5300::g.8212::m.8212","cluster6161",0,0,0,"N",3,"",""
"14871","NVE5300","Gene.8213::NVE5300::g.8213::m.8213","cluster3956",0,0,0,"Y",1,"",""
"14872","NVE5301","Gene.8214::NVE5301::g.8214::m.8214","cluster22",0,0,0,"N",0,"",""
"14873","NVE5301","Gene.8215::NVE5301::g.8215::m.8215","cluster2839",0,0,0,"N",0,"",""
"14874","NVE5302","Gene.8216::NVE5302::g.8216::m.8216","cluster1770",0,0,0,"N",0,"",""
"14875","NVE5302","Gene.8217::NVE5302::g.8217::m.8217","cluster3220",0,0,0,"N",0,"",""
"14876","NVE5303","Gene.8218::NVE5303::g.8218::m.8218","cluster1770",0,0,0,"N",0,"",""
"14877","NVE5303","Gene.8219::NVE5303::g.8219::m.8219","cluster3220",0,0,0,"N",0,"",""
"14878","NVE5306","Gene.8220::NVE5306::g.8220::m.8220","cluster886",0,0,0,"N",0,"",""
"14879","NVE5307","Gene.8221::NVE5307::g.8221::m.8221","cluster886",0,0,0,"N",0,"",""
"14880","NVE5308","Gene.8222::NVE5308::g.8222::m.8222","cluster4309",0,0,0,"N",0,"",""
"14881","NVE5308","Gene.8223::NVE5308::g.8223::m.8223","cluster6164",0,0,0,"N",0,"",""
"14882","NVE5310","Gene.8224::NVE5310::g.8224::m.8224","cluster3564",0,0,0,"N",0,"",""
"14883","NVE5310","Gene.8225::NVE5310::g.8225::m.8225","cluster3564",0,0,0,"N",0,"",""
"14884","NVE5316","Gene.8226::NVE5316::g.8226::m.8226","cluster1489",0,0,0,"N",0,"",""
"14885","NVE5316","Gene.8227::NVE5316::g.8227::m.8227","cluster1919",0,0,0,"N",0,"",""
"14886","NVE5317","Gene.8228::NVE5317::g.8228::m.8228","cluster3",0,0,0,"N",0,"",""
"14887","NVE5318","Gene.8229::NVE5318::g.8229::m.8229","cluster1489",0,0,0,"N",0,"",""
"14888","NVE5319","Gene.8230::NVE5319::g.8230::m.8230","cluster1489",0,0,0,"N",0,"",""
"14890","NVE5322","Gene.8233::NVE5322::g.8233::m.8233","cluster6743",0,0,0,"N",0,"",""
"14891","NVE5322","Gene.8234::NVE5322::g.8234::m.8234","cluster6778",0,0,0,"N",10,"",""
"14892","NVE5323","Gene.8235::NVE5323::g.8235::m.8235","cluster6044",0,0,0,"N",0,"",""
"14893","NVE5324","Gene.8236::NVE5324::g.8236::m.8236","cluster6165",1,0,0,"Y",0,"",""
"14894","NVE5327","Gene.8238::NVE5327::g.8238::m.8238","cluster1617",0,0,0,"N",0,"",""
"14895","NVE5329","Gene.8239::NVE5329::g.8239::m.8239","cluster2482",0,0,0,"N",1,"",""
"14898","NVE5333","Gene.8244::NVE5333::g.8244::m.8244","cluster1776",0,0,0,"N",0,"",""
"14899","NVE5333","Gene.8245::NVE5333::g.8245::m.8245","cluster6166",0,0,0,"N",0,"",""
"14900","NVE5335","Gene.8246::NVE5335::g.8246::m.8246","cluster250",0,0,0,"N",0,"",""
"14901","NVE5335","Gene.8247::NVE5335::g.8247::m.8247","cluster250",0,0,0,"N",0,"",""
"14902","NVE5335","Gene.8248::NVE5335::g.8248::m.8248","cluster250",0,0,0,"N",0,"",""
"14903","NVE5336","Gene.8249::NVE5336::g.8249::m.8249","cluster1776",0,0,0,"N",0,"",""
"14904","NVE5337","Gene.8250::NVE5337::g.8250::m.8250","cluster1585",0,0,0,"N",0,"",""
"14905","NVE5337","Gene.8251::NVE5337::g.8251::m.8251","cluster6984",0,0,0,"N",0,"",""
"14906","NVE5337","Gene.8252::NVE5337::g.8252::m.8252","cluster313",0,0,0,"N",0,"",""
"14907","NVE5337","Gene.8253::NVE5337::g.8253::m.8253","cluster2416",0,0,0,"N",0,"",""
"14908","NVE5337","Gene.8254::NVE5337::g.8254::m.8254","cluster683",0,0,0,"N",0,"",""
"14909","NVE5338","Gene.8255::NVE5338::g.8255::m.8255","cluster814",0,0,0,"N",0,"",""
"14910","NVE5338","Gene.8256::NVE5338::g.8256::m.8256","cluster1394",0,0,0,"N",0,"",""
"14911","NVE5338","Gene.8257::NVE5338::g.8257::m.8257","cluster2119",0,0,0,"N",0,"",""
"14912","NVE5339","Gene.8258::NVE5339::g.8258::m.8258","cluster1865",0,0,0,"N",1,"",""
"14913","NVE5339","Gene.8259::NVE5339::g.8259::m.8259","cluster684",0,0,0,"N",0,"",""
"14914","NVE5339","Gene.8260::NVE5339::g.8260::m.8260","cluster136",0,0,0,"N",0,"",""
"14915","NVE5339","Gene.8261::NVE5339::g.8261::m.8261","cluster3481",0,0,0,"N",0,"",""
"14916","NVE5339","Gene.8262::NVE5339::g.8262::m.8262","cluster2589",0,0,0,"N",0,"",""
"14917","NVE5339","Gene.8263::NVE5339::g.8263::m.8263","cluster136",0,0,0,"N",0,"",""
"14918","NVE5339","Gene.8264::NVE5339::g.8264::m.8264","cluster2548",0,0,0,"N",0,"",""
"14919","NVE5339","Gene.8265::NVE5339::g.8265::m.8265","cluster1902",0,0,0,"N",0,"",""
"14920","NVE5340","Gene.8266::NVE5340::g.8266::m.8266","cluster2732",0,0,0,"N",0,"",""
"14921","NVE5340","Gene.8267::NVE5340::g.8267::m.8267","cluster7812",0,0,0,"N",0,"",""
"14922","NVE5341","Gene.8268::NVE5341::g.8268::m.8268","cluster105",0,0,1,"N",0,"",""
"14923","NVE5341","Gene.8269::NVE5341::g.8269::m.8269","cluster4579",0,0,1,"N",0,"",""
"14924","NVE5342","Gene.8270::NVE5342::g.8270::m.8270","cluster146",0,0,0,"N",0,"",""
"14925","NVE5342","Gene.8271::NVE5342::g.8271::m.8271","cluster3473",0,0,0,"N",0,"",""
"14926","NVE5342","Gene.8272::NVE5342::g.8272::m.8272","cluster894",0,0,0,"N",0,"",""
"14927","NVE5343","Gene.8273::NVE5343::g.8273::m.8273","cluster146",0,0,0,"N",0,"",""
"14928","NVE5343","Gene.8274::NVE5343::g.8274::m.8274","cluster2525",0,0,0,"N",1,"",""
"14929","NVE5344","Gene.8275::NVE5344::g.8275::m.8275","cluster1484",0,0,0,"N",0,"",""
"14930","NVE5345","Gene.8276::NVE5345::g.8276::m.8276","cluster531",0,0,0,"N",1,"",""
"14931","NVE5346","Gene.8277::NVE5346::g.8277::m.8277","cluster1938",0,0,0,"N",0,"",""
"14932","NVE5346","Gene.8278::NVE5346::g.8278::m.8278","cluster840",0,0,0,"N",0,"",""
"14933","NVE5347","Gene.8279::NVE5347::g.8279::m.8279","cluster3626",0,0,0,"N",0,"",""
"14934","NVE5347","Gene.8280::NVE5347::g.8280::m.8280","cluster2945",0,0,0,"N",0,"",""
"14935","NVE5348","Gene.8281::NVE5348::g.8281::m.8281","cluster736",0,0,0,"N",0,"",""
"14936","NVE5351","Gene.8284::NVE5351::g.8284::m.8284","cluster2992",0,0,0,"N",0,"",""
"14937","NVE5351","Gene.8285::NVE5351::g.8285::m.8285","cluster409",0,0,0,"N",0,"",""
"14938","NVE5352","Gene.8286::NVE5352::g.8286::m.8286","cluster1",0,0,0,"N",0,"",""
"14939","NVE5353","Gene.8287::NVE5353::g.8287::m.8287","cluster869",0,0,0,"N",0,"",""
"14940","NVE5353","Gene.8288::NVE5353::g.8288::m.8288","cluster869",0,0,0,"N",0,"",""
"14941","NVE5353","Gene.8289::NVE5353::g.8289::m.8289","cluster869",0,0,0,"N",0,"",""
"14942","NVE5354","Gene.8290::NVE5354::g.8290::m.8290","cluster2992",0,0,0,"N",0,"",""
"14943","NVE5355","Gene.8291::NVE5355::g.8291::m.8291","cluster869",0,0,0,"N",0,"",""
"14944","NVE5355","Gene.8292::NVE5355::g.8292::m.8292","cluster869",0,0,0,"N",0,"",""
"14945","NVE5355","Gene.8293::NVE5355::g.8293::m.8293","cluster869",0,0,0,"N",0,"",""
"14946","NVE5356","Gene.8294::NVE5356::g.8294::m.8294","cluster3",0,0,0,"N",1,"",""
"14947","NVE5357","Gene.8295::NVE5357::g.8295::m.8295","cluster2510",0,0,0,"N",0,"",""
"14948","NVE5358","Gene.8296::NVE5358::g.8296::m.8296","cluster2510",0,0,0,"N",0,"",""
"14949","NVE5359","Gene.8297::NVE5359::g.8297::m.8297","cluster994",0,0,0,"N",0,"",""
"14950","NVE5360","Gene.8298::NVE5360::g.8298::m.8298","cluster2081",0,0,0,"N",0,"",""
"14951","NVE5360","Gene.8299::NVE5360::g.8299::m.8299","cluster1389",0,0,0,"N",8,"",""
"14952","NVE5360","Gene.8300::NVE5360::g.8300::m.8300","cluster5669",0,0,0,"N",0,"",""
"14953","NVE5361","Gene.8301::NVE5361::g.8301::m.8301","cluster22",0,0,0,"N",0,"",""
"14954","NVE5361","Gene.8302::NVE5361::g.8302::m.8302","cluster2430",0,0,0,"N",0,"",""
"14955","NVE5362","Gene.8303::NVE5362::g.8303::m.8303","cluster2816",0,0,0,"N",0,"",""
"14957","NVE5366","Gene.8306::NVE5366::g.8306::m.8306","cluster665",0,0,0,"N",0,"",""
"14958","NVE5366","Gene.8307::NVE5366::g.8307::m.8307","cluster3691",0,0,0,"N",1,"",""
"14959","NVE5369","Gene.8308::NVE5369::g.8308::m.8308","cluster598",0,0,0,"Y",1,"",""
"14961","NVE5371","Gene.8311::NVE5371::g.8311::m.8311","cluster3983",0,0,0,"N",0,"",""
"14962","NVE5371","Gene.8312::NVE5371::g.8312::m.8312","cluster5061",0,0,0,"N",0,"",""
"14963","NVE5371","Gene.8313::NVE5371::g.8313::m.8313","cluster28",0,0,0,"N",0,"",""
"14964","NVE5373","Gene.8314::NVE5373::g.8314::m.8314","cluster1356",0,0,0,"N",0,"",""
"14965","NVE5374","Gene.8315::NVE5374::g.8315::m.8315","cluster2971",0,0,0,"N",0,"",""
"14966","NVE5374","Gene.8316::NVE5374::g.8316::m.8316","cluster1674",0,0,0,"N",0,"",""
"14967","NVE5374","Gene.8317::NVE5374::g.8317::m.8317","cluster6641",0,0,0,"N",2,"",""
"14970","NVE5376","Gene.8322::NVE5376::g.8322::m.8322","cluster6625",0,0,0,"Y",0,"",""
"14971","NVE5376","Gene.8323::NVE5376::g.8323::m.8323","cluster1822",0,0,0,"N",0,"",""
"14972","NVE5376","Gene.8324::NVE5376::g.8324::m.8324","cluster1",0,0,0,"N",0,"",""
"14973","NVE5377","Gene.8325::NVE5377::g.8325::m.8325","cluster534",0,0,0,"Y",0,"",""
"14974","NVE5378","Gene.8326::NVE5378::g.8326::m.8326","cluster982",0,0,0,"N",0,"",""
"14977","NVE5380","Gene.8330::NVE5380::g.8330::m.8330","cluster4597",0,0,1,"Y",0,"",""
"14979","NVE5382","Gene.8333::NVE5382::g.8333::m.8333","cluster604",0,0,0,"N",0,"",""
"14980","NVE5383","Gene.8334::NVE5383::g.8334::m.8334","cluster6",0,0,0,"N",7,"",""
"14982","NVE5386","Gene.8338::NVE5386::g.8338::m.8338","cluster339",0,0,0,"N",0,"",""
"14983","NVE5388","Gene.8339::NVE5388::g.8339::m.8339","cluster339",0,0,0,"N",0,"",""
"14984","NVE5388","Gene.8340::NVE5388::g.8340::m.8340","cluster6169",0,0,0,"N",0,"",""
"14985","NVE5388","Gene.8341::NVE5388::g.8341::m.8341","cluster4757",0,0,0,"N",0,"",""
"14986","NVE5388","Gene.8342::NVE5388::g.8342::m.8342","cluster177",0,0,0,"N",0,"",""
"14987","NVE5389","Gene.8343::NVE5389::g.8343::m.8343","cluster339",0,0,0,"N",0,"",""
"14988","NVE5389","Gene.8344::NVE5389::g.8344::m.8344","cluster4757",0,0,0,"N",0,"",""
"14989","NVE5392","Gene.8347::NVE5392::g.8347::m.8347","cluster7907",0,0,0,"N",0,"",""
"14994","NVE5396","Gene.8354::NVE5396::g.8354::m.8354","cluster31",0,0,0,"N",2,"",""
"14995","NVE5397","Gene.8355::NVE5397::g.8355::m.8355","cluster31",0,0,0,"N",7,"",""
"14996","NVE5401","Gene.8358::NVE5401::g.8358::m.8358","cluster4094",0,0,0,"N",1,"",""
"14997","NVE5402","Gene.8359::NVE5402::g.8359::m.8359","cluster11",0,0,0,"N",0,"",""
"14998","NVE5402","Gene.8360::NVE5402::g.8360::m.8360","cluster7908",0,0,0,"N",1,"",""
"14999","NVE5403","Gene.8361::NVE5403::g.8361::m.8361","cluster7012",0,0,0,"N",0,"",""
"15000","NVE5405","Gene.8363::NVE5405::g.8363::m.8363","cluster226",0,0,0,"N",0,"",""
"15002","NVE5407","Gene.8366::NVE5407::g.8366::m.8366","cluster5926",0,0,0,"N",1,"",""
"15003","NVE5409","Gene.8368::NVE5409::g.8368::m.8368","cluster38",0,0,0,"N",1,"",""
"15005","NVE5412","Gene.8371::NVE5412::g.8371::m.8371","cluster1996",1,1,0,"Y",1,"",""
"15006","NVE5412","Gene.8372::NVE5412::g.8372::m.8372","cluster2136",1,1,0,"N",0,"",""
"15007","NVE5412","Gene.8373::NVE5412::g.8373::m.8373","cluster809",1,1,0,"N",0,"",""
"15008","NVE5415","Gene.8375::NVE5415::g.8375::m.8375","cluster6683",0,0,0,"N",0,"",""
"15009","NVE5416","Gene.8376::NVE5416::g.8376::m.8376","cluster1747",0,0,0,"N",0,"",""
"15016","NVE5419","Gene.8385::NVE5419::g.8385::m.8385","cluster10",0,0,0,"N",0,"",""
"15017","NVE5419","Gene.8386::NVE5419::g.8386::m.8386","cluster2252",0,0,0,"N",0,"",""
"15018","NVE5420","Gene.8387::NVE5420::g.8387::m.8387","cluster7552",0,0,0,"N",0,"",""
"15020","NVE5423","Gene.8391::NVE5423::g.8391::m.8391","cluster791",0,0,0,"N",0,"",""
"15024","NVE5427","Gene.8398::NVE5427::g.8398::m.8398","cluster5716",0,0,0,"N",0,"",""
"15025","NVE5429","Gene.8399::NVE5429::g.8399::m.8399","cluster2415",0,0,0,"Y",0,"",""
"15026","NVE5430","Gene.8400::NVE5430::g.8400::m.8400","cluster1148",0,0,0,"N",0,"",""
"15027","NVE5430","Gene.8401::NVE5430::g.8401::m.8401","cluster4755",0,0,0,"N",2,"",""
"15029","NVE5432","Gene.8404::NVE5432::g.8404::m.8404","cluster3124",0,0,0,"Y",0,"",""
"15031","NVE5434","Gene.8407::NVE5434::g.8407::m.8407","cluster2233",0,0,0,"N",0,"",""
"15032","NVE5435","Gene.8408::NVE5435::g.8408::m.8408","cluster1024",0,0,0,"N",0,"",""
"15033","NVE5435","Gene.8409::NVE5435::g.8409::m.8409","cluster3302",0,0,0,"N",0,"",""
"15034","NVE5435","Gene.8410::NVE5435::g.8410::m.8410","cluster2560",0,0,0,"N",0,"",""
"15035","NVE5435","Gene.8411::NVE5435::g.8411::m.8411","cluster6171",0,0,0,"N",0,"",""
"15036","NVE5436","Gene.8412::NVE5436::g.8412::m.8412","cluster12",0,0,0,"Y",0,"",""
"15037","NVE5436","Gene.8413::NVE5436::g.8413::m.8413","cluster3933",0,0,0,"N",0,"",""
"15038","NVE5437","Gene.8414::NVE5437::g.8414::m.8414","cluster12",0,0,0,"N",0,"",""
"15039","NVE5437","Gene.8415::NVE5437::g.8415::m.8415","cluster50",0,0,0,"N",13,"",""
"15040","NVE5437","Gene.8416::NVE5437::g.8416::m.8416","cluster504",0,0,0,"N",0,"",""
"15041","NVE5438","Gene.8417::NVE5438::g.8417::m.8417","cluster2328",0,0,0,"N",0,"",""
"15043","NVE5440","Gene.8420::NVE5440::g.8420::m.8420","cluster1277",0,0,0,"N",0,"",""
"15044","NVE5442","Gene.8422::NVE5442::g.8422::m.8422","cluster19",0,0,0,"N",6,"",""
"15045","NVE5442","Gene.8423::NVE5442::g.8423::m.8423","cluster16",0,0,0,"N",0,"",""
"15046","NVE5442","Gene.8424::NVE5442::g.8424::m.8424","cluster658",0,0,0,"N",0,"",""
"15047","NVE5442","Gene.8425::NVE5442::g.8425::m.8425","cluster682",0,0,0,"N",0,"",""
"15048","NVE5444","Gene.8427::NVE5444::g.8427::m.8427","cluster115",0,0,0,"N",1,"",""
"15049","NVE5445","Gene.8428::NVE5445::g.8428::m.8428","cluster18",0,0,0,"N",1,"",""
"15050","NVE5445","Gene.8429::NVE5445::g.8429::m.8429","cluster1",0,0,0,"N",1,"",""
"15054","NVE5448","Gene.8435::NVE5448::g.8435::m.8435","cluster265",0,0,0,"N",8,"",""
"15055","NVE5450","Gene.8437::NVE5450::g.8437::m.8437","cluster1273",0,0,0,"Y",1,"",""
"15056","NVE5451","Gene.8438::NVE5451::g.8438::m.8438","cluster1273",0,0,0,"Y",1,"",""
"15057","NVE5452","Gene.8439::NVE5452::g.8439::m.8439","cluster1273",1,0,0,"N",0,"",""
"15058","NVE5453","Gene.8440::NVE5453::g.8440::m.8440","cluster6",0,0,0,"N",5,"",""
"15059","NVE5457","Gene.8443::NVE5457::g.8443::m.8443","cluster4760",0,0,0,"N",0,"",""
"15060","NVE5458","Gene.8444::NVE5458::g.8444::m.8444","cluster2119",0,0,0,"N",0,"",""
"15061","NVE5459","Gene.8445::NVE5459::g.8445::m.8445","cluster880",0,0,0,"N",0,"",""
"15062","NVE5460","Gene.8446::NVE5460::g.8446::m.8446","cluster4592",0,0,0,"Y",7,"",""
"15065","NVE5463","Gene.8451::NVE5463::g.8451::m.8451","cluster3908",0,0,0,"N",0,"",""
"15066","NVE5463","Gene.8452::NVE5463::g.8452::m.8452","cluster551",0,0,0,"N",4,"",""
"15067","NVE5463","Gene.8453::NVE5463::g.8453::m.8453","cluster2948",0,0,0,"N",0,"",""
"15068","NVE5463","Gene.8454::NVE5463::g.8454::m.8454","cluster108",0,0,0,"N",1,"",""
"15069","NVE5465","Gene.8456::NVE5465::g.8456::m.8456","cluster124",0,0,0,"N",0,"",""
"15070","NVE5465","Gene.8457::NVE5465::g.8457::m.8457","cluster6173",0,0,0,"N",0,"",""
"15071","NVE5465","Gene.8458::NVE5465::g.8458::m.8458","cluster1158",0,0,0,"N",1,"",""
"15072","NVE5466","Gene.8459::NVE5466::g.8459::m.8459","cluster124",0,0,0,"N",0,"",""
"15073","NVE5466","Gene.8460::NVE5466::g.8460::m.8460","cluster6173",0,0,0,"N",0,"",""
"15074","NVE5466","Gene.8461::NVE5466::g.8461::m.8461","cluster4761",0,0,0,"N",0,"",""
"15076","NVE5468","Gene.8464::NVE5468::g.8464::m.8464","cluster18",0,0,0,"N",0,"",""
"15079","NVE5470","Gene.8468::NVE5470::g.8468::m.8468","cluster3264",0,0,0,"N",4,"",""
"15080","NVE5472","Gene.8470::NVE5472::g.8470::m.8470","cluster4493",0,0,0,"N",0,"",""
"15081","NVE5476","Gene.8474::NVE5476::g.8474::m.8474","cluster1168",0,0,0,"N",0,"",""
"15082","NVE5476","Gene.8475::NVE5476::g.8475::m.8475","cluster3305",0,0,0,"N",0,"",""
"15085","NVE5480","Gene.8480::NVE5480::g.8480::m.8480","cluster1060",0,0,0,"N",0,"",""
"15086","NVE5480","Gene.8481::NVE5480::g.8481::m.8481","cluster1782",0,0,0,"N",1,"",""
"15087","NVE5481","Gene.8482::NVE5481::g.8482::m.8482","cluster5430",0,0,0,"N",0,"",""
"15088","NVE5481","Gene.8483::NVE5481::g.8483::m.8483","cluster2799",0,0,0,"N",0,"",""
"15089","NVE5482","Gene.8484::NVE5482::g.8484::m.8484","cluster37",0,0,0,"N",0,"",""
"15090","NVE5482","Gene.8485::NVE5482::g.8485::m.8485","cluster4479",0,0,0,"N",0,"",""
"15092","NVE5485","Gene.8488::NVE5485::g.8488::m.8488","cluster165",1,0,0,"Y",1,"",""
"15093","NVE5485","Gene.8489::NVE5485::g.8489::m.8489","cluster1037",1,0,0,"N",0,"",""
"15096","NVE5487","Gene.8493::NVE5487::g.8493::m.8493","cluster921",0,0,0,"N",0,"",""
"15097","NVE5487","Gene.8494::NVE5487::g.8494::m.8494","cluster4445",0,0,0,"N",1,"",""
"15098","NVE5489","Gene.8496::NVE5489::g.8496::m.8496","cluster1203",0,0,0,"N",0,"",""
"15099","NVE5489","Gene.8497::NVE5489::g.8497::m.8497","cluster811",0,0,0,"N",1,"",""
"15100","NVE5489","Gene.8498::NVE5489::g.8498::m.8498","cluster1224",0,0,0,"N",0,"",""
"15101","NVE5489","Gene.8499::NVE5489::g.8499::m.8499","cluster1",0,0,0,"N",0,"",""
"15106","NVE5493","Gene.8507::NVE5493::g.8507::m.8507","cluster765",0,0,0,"N",5,"",""
"15108","NVE5497","Gene.8512::NVE5497::g.8512::m.8512","cluster3264",0,0,0,"N",4,"",""
"15109","NVE5498","Gene.8513::NVE5498::g.8513::m.8513","cluster3264",0,0,0,"N",4,"",""
"15116","NVE5503","Gene.8523::NVE5503::g.8523::m.8523","cluster3934",0,0,0,"N",1,"",""
"15117","NVE5503","Gene.8524::NVE5503::g.8524::m.8524","cluster5193",0,0,0,"N",0,"",""
"15118","NVE5504","Gene.8525::NVE5504::g.8525::m.8525","cluster153",0,0,0,"N",1,"",""
